data/1_CO_bpubdl06.wav,21697,  tem blusa de frio  
data/3_CO_bpubdl06.wav,13803,  agora 
data/4_CO_bpubdl06.wav,11135,  agora 
data/5_CO_bpubdl06.wav,15148,  tenho 
data/6_CO_bpubdl06.wav,29987,  pode vim aqui que eu vou te mostrar  
data/7_CO_bpubdl06.wav,15523,  moletom 
data/8_CO_bpubdl06.wav,10958,  aqui 
data/9_CO_bpubdl06.wav,14751,  uhn 
data/10_CO_bpubdl06.wav,22689,  quanto que elas tão 
data/12_CO_bpubdl06.wav,65841,  as  a  o mole  o moletom fechado é vinte-e-nove e noventa 
